depth,1,2,3,4,5
2,84.494,80.222,76.165,72.495,69.164
3,84.48499999999999,80.08399999999999,75.939,72.261,68.962
4,84.46100000000001,80.082,75.91799999999999,72.19,68.888
5,84.396,79.97900000000001,75.831,72.15899999999999,68.857
6,84.273,79.97399999999999,75.72699999999999,71.997,68.702
