depth,1,2,3,4,5
3,65.37333333333332,60.95666666666667,59.4,59.025,59.053333333333335
4,64.88111111111112,60.41777777777778,58.82444444444445,58.42444444444444,58.44222222222223
5,64.15625,59.7175,58.14124999999999,57.7425,57.75374999999999
6,57.174,53.159000000000006,51.73499999999999,51.364999999999995,51.370999999999995
